"ID","E1","E2","E3","E4","E5","E6","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","Y"
1,763.358379187362,1042.64979166014,434.685857247384,571.885588590455,643.964179242241,675.922183779547,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,24102983563.7452
2,744.408444259748,794.447781187109,561.442747049313,492.377717190183,377.271973469801,900.317345824294,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,25388601575.8504
3,752.876081735227,544.099215868467,731.537771469571,549.262325420711,803.7729852865,929.280988460668,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,14597960847.1646
4,749.760543608449,494.408686072372,801.253816934401,786.315506191542,362.536991935529,602.61101567453,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,16630776546.4092
5,764.105899600328,1004.99332110098,858.158850644763,322.454927982096,478.942636036418,910.569797166087,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,22053051875.959
6,964.339155775866,888.909716262432,803.379371199614,469.872893263449,339.094165859205,772.232715119491,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,26061186879.3003
7,795.72164122255,876.72644387325,681.352773252793,587.065397713994,812.826185000193,788.881539861271,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,24263383142.2712
8,711.783887399815,997.837401733146,648.355299710953,592.340939464929,349.383872450756,259.687886021297,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,26501911184.0811
9,593.017439481491,968.61537615397,654.709360351089,637.332840065814,409.997431559523,827.113948365805,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,26153200578.3537
10,545.260268347844,636.997285484323,682.064317606854,283.086536466841,391.348698921458,774.971362102338,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,17860986523.2288
11,739.011633803836,955.570025718796,486.317507053815,564.022235136089,603.790674077223,859.854798668494,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,25081520266.8489
12,650.594184970081,998.314676737996,614.13301194151,695.333405740714,633.589335965572,761.57544541002,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,NA,0,1,1,0,21685226734.7566
13,690.57666716168,793.262539328198,761.888430306671,701.00095401899,464.039789888188,662.713037686773,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,33837583618.7134
14,632.919667065924,999.300333331492,753.335327759639,486.356974472309,551.715868633609,806.729713657513,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,NA,0,0,0,1,32892771871.6149
15,592.221613901275,803.498564557726,808.670677378377,454.762717739822,501.27871503342,621.95522312102,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,36873195957.1314
16,639.669119832942,853.860546083862,605.062125018854,785.744901811396,560.220627359391,995.522756047168,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,30820952228.2867
17,659.986506203392,822.792119131104,572.042239977049,328.602750054103,533.513272599902,607.040725488991,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,15245655537.4829
18,867.999790948701,1190.79969419569,679.877016715137,440.903638231016,483.55600822008,766.631681776857,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,23597990623.0859
19,528.395571309895,831.107763627963,435.143856159544,631.289478818451,617.267527191871,675.746074162419,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,29044838391.643
20,995.503282006696,1029.91314528393,965.319284278303,575.390661081581,291.696211713825,423.475352979639,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,37669507374.3545
21,689.233233064812,844.141802971193,437.125015435443,428.320454171686,518.36588757971,NA,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,23109244901.7257
22,1018.90634357407,1236.64581064969,599.917860407665,269.50432294052,470.782784143183,734.436677268002,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,20405319945.1559
23,947.348720904467,906.368921627259,842.372785252307,645.092838518745,580.178131920812,671.855176198462,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,39784068410.9947
24,741.543305371189,869.040399335718,618.214291278574,532.311722323211,613.471182018318,833.106915960012,1,0,0,1,0,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,33388761278.0653
25,780.98120097962,713.334767882097,575.827074879504,407.847733926234,455.38697314966,664.991084106874,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,27667535644.2132
26,814.800127610255,883.156785343155,571.463727765191,668.798006341408,582.473758407862,837.451483570178,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,27509572329.9316
27,729.80388974738,764.940223969711,614.834115187154,467.442635771281,753.780550585421,854.395033492928,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,35471288249.4091
28,585.117651198217,1084.68660709241,601.468758452922,216.278337092076,566.047276853494,761.871390570641,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,21428257215.5104
29,546.764451730261,715.455680837859,726.736504183562,358.193604517694,614.751982595357,798.427202177118,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,17080733468.7789
30,727.608714241442,759.153962589809,443.214911166957,472.795059305526,NA,792.821037204202,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,20253063919.0625
31,311.296186741972,1032.11113341304,430.511200230574,689.210866421447,781.501559284679,469.654517678651,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,NA
32,602.140918384252,873.930668804913,830.476488206267,721.392155930753,983.094529717885,729.597022974254,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,22236807646.4786
33,582.593152220763,924.05366152675,341.731297417069,511.408128849452,633.959350809111,490.026273816022,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,28522937510.9067
34,892.913588830513,682.270248246388,595.836901859694,578.192397527299,584.861795489374,862.608227306246,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,24872048368.8719
35,902.036886743191,870.004968828215,405.211229406616,840.635452163646,647.512645115691,604.256152859055,1,1,1,NA,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,29555158406.3235
36,747.906916993337,855.798034482533,399.742662173851,665.426599741928,407.085292105654,567.828493776647,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,20415711320.205
37,609.766469521387,654.642300916178,667.067950623413,493.071420029737,651.359491532502,647.5379663935,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,22207839064.677
38,514.871868569348,633.193263596189,711.328450787109,579.100103296042,535.226654932734,818.470936839521,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12180098753.4334
39,773.27899841302,1134.19669146059,273.05692523161,512.810547902574,816.734996395259,779.291531370617,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,27569868542.3004
